step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
180,4972,180,0.013890310669776225,1.0,1.0,,,,,,,,,
181,5005,181,0.01601468547998593,1.0,1.0,,,,,,,,,
182,5022,182,0.012427387141942746,1.0,1.0,,,,,,,,,
183,5047,183,0.017339156741266685,1.0,1.0,,,,,,,,,
184,5072,184,0.014801478306253557,1.0,1.0,,,,,,,,,
185,5097,185,0.017136054955226424,1.0,1.0,0.017107834366979657,1.0,1.0,,,,,,
186,5130,186,0.02149634584940941,1.0,1.0,,,,,,,,,
187,5163,187,0.019088429323223865,1.0,1.0,,,,,,,,,
188,5180,188,0.015745821191376307,1.0,1.0,,,,,,,,,
189,5205,189,0.010604359745584588,1.0,1.0,,,,,,,,,
190,5246,190,0.016476227973093047,1.0,1.0,,,,,,,,,
191,5271,191,0.024593306464206155,1.0,1.0,,,,,,,,,
192,5296,192,0.01757364154618699,1.0,1.0,,,,,,,,,
193,5313,193,0.009609562981868294,1.0,1.0,0.022840398485507955,1.0,1.0,,,,,,
194,5338,194,0.00964481362603692,1.0,1.0,,,,,,,,,
195,5363,195,0.02321540943114087,1.0,1.0,,,,,,,,,
196,5404,196,0.014661793004139327,1.0,1.0,,,,,,,,,
197,5437,197,0.016957615668434303,1.0,1.0,,,,,,,,,
198,5462,198,0.017903213334660294,1.0,1.0,,,,,,,,,
199,5487,199,0.01575103700941933,1.0,1.0,,,,,,,,,
200,5520,200,0.0172945206051736,1.0,1.0,,,,,,,,,
201,5537,201,0.012383930845826398,1.0,1.0,0.011220693973627929,1.0,1.0,,,,,,
202,5562,202,0.01575103700941933,1.0,1.0,,,,0.9090909361839294,1.0,0.8571428571428571,0.9642857142857143,0.9808673469387755,0.923076923076923

